Kungshögarna
Regins väg
Valhalls väg
Huges väg
Topeliusgatan
Värnlundsgatan
Ferlinsgatan
Heidenstamstorg
Kantorsgatan
Djäknegatan
Portalgatan
Höganäsgatan
Väderkvarnsgatan
Vaksala torg
Stadshuset
Skolgatan 
Götgatan
Ekonomikum
Studentstaden 
Rickomberga 
Oslogatan
Reykjaviksgatan
Ekebyhus
Sernanders väg  
Flogsta centrum 
Flogsta vårdcentral
Ihres väg
Noreens väg
Säves väg
